Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),,,,,Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0,0,0,7.06,1.96,7.06,,,0,0,26.01,27.17,,107,133,133,133.43,,,,,,,,,,,0
0.05,0,0,8.82,2.21,7.94,0.005,4.9,0,0.11,26.01,,,107,133,133,133.43,,,,,0,0,,,,,0
0.1,0,0,10.58,2.45,8.82,0.002,4.9,0,0.25,26,,,107,133,133,133.43,,,,,0,0,0,0,0,,0
0.15,0.02,0.01,10.75,2.58,9.3,0.127,2.677,0,0.41,26,,,107,133,133,133.43,,,,,0,0,0,0,0,0,0
0.2,0.02,0,0.47,2.09,7.54,-0.046,-9.81,0,0.41,26,,,107,133,133,133.43,,,,,0,0,0,0,0,0,0
0.25,0.01,0,0.6,1.77,6.38,-0.01,-6.42,0,0.41,26,,,107,133,133,133.43,,,,,0,0,0,0,0,0,0
0.3,0.02,0.01,0.56,1.54,5.55,0.055,-4.617,0,0.42,26,,,107,133,133,133.43,,,,,0,0,0,0,0,0,0
0.35,0.01,0,0.53,1.37,4.92,-0.097,-3.487,0,0.42,26,,,107,133,133,133.43,,,,,0,0,0,0,0,0,0
0.4,0.03,0.01,0.5,1.23,4.43,0.156,-2.732,0,0.43,26,,,107,133,133,133.43,,,,,0,0,0,0,0,0,0
0.45,0.01,0,0.47,1.12,4.03,-0.138,-2.202,0,0.43,26,,,107,133,133,133.43,,,,,0.02,0,0.4,0,0.4,7.996,0
0.5,0.05,0.01,0.44,0.94,3.37,0.222,-3.677,0,0.43,26,,,107,133,133,133.43,,,,,0,0,-0.4,0,0.4,0,0
0.55,0.03,0.01,0.41,0.7,2.53,-0.127,-4.672,0,0.44,26,,,107,133,133,133.43,,,,,0.02,0,0.4,0,0.4,0,0
0.6,0.07,0.02,0.39,0.42,1.51,0.244,-5.666,0,0.44,26,,,107,133,133,133.43,,,,,0,0,-0.4,0,0.4,0,0
0.65,0.05,0.01,0.36,0.13,0.47,-0.112,-5.769,0,0.44,26,,,107,133,133,133.43,,,,,0.02,0,0.4,0,0.4,0,0
