Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m),TTC (s)
0.0,7.048583936691284,5.292000102996826,5.292000102996826,14.009380600781686,0.0,0.0,107.0,133.0,121.0,133.42399597167972,1.9579399824142456,1.4700000286102295,,,,,1.2003813392949512,28.710691519828526
0.05,8.808552074432374,7.056000137329103,6.174000120162964,14.00990272815394,0.11256401240825653,0.08820003271102905,107.0,133.0,121.0,133.42399597167972,2.446820020675659,1.9600000381469729,9.777600765228271,9.800000190734867,,,1.717825363652256,28.777814084875946
0.1,8.172539806437204,8.820000171661377,7.056000137329102,14.010244143527617,0.24021680653095245,0.20090001821517944,107.0,133.0,121.0,133.42399597167972,2.2701499462325567,2.450000047683716,-3.533401488862049,9.800000190734858,,,0.5804982778655683,inf
0.15000000000000002,4.179743814479217,10.584000205993652,7.9380001544952385,14.008985359054373,0.31818941235542303,0.33810003101825714,107.0,133.0,121.0,133.42399597167972,1.161039948466449,2.940000057220459,-22.182199955322144,9.80000019073486,,,0.0,inf
0.2,1.8211355924629309,10.747439861297623,8.499888095855715,14.007219195471315,0.35516441240906715,0.4934903234243393,107.0,133.0,121.0,133.42399597167972,0.5058709979063697,2.985399961471562,-13.103379011201591,0.9079980850220617,,,0.0,inf
0.25,0.4830912172801447,7.768655776977547,8.378016042709353,14.006471806116652,0.3684279099106789,0.6180078238248825,107.0,133.0,121.0,133.42399597167972,0.1341920048000402,2.1579599380493186,-7.4335798621265905,-16.548800468444874,,,0.0,inf
0.30000000000000004,0.22911515235952026,4.8948121547699035,7.880415487289432,14.006491116337056,0.3686696141958237,0.7016720250248909,107.0,133.0,121.0,133.42399597167972,0.06364309787764452,1.3596700429916397,-1.4109781384479123,-15.965797901153564,,,0.0,inf
0.35000000000000003,0.5667731881142728,0.2858890101483613,6.931099677646798,14.006646859381153,0.3749790191650391,0.7303070276975632,107.0,133.0,121.0,133.42399597167972,0.1574369966984091,0.07941361393010037,1.875877976415292,-25.605128581230794,,,0.010606903932291249,179.49557436166404
0.4,0.6878160238269048,1.2601369874799058,6.3009927120726985,14.006628195418685,0.38403621688485146,0.7427060306072235,107.0,133.0,121.0,133.42399597167972,0.19106000661858466,0.35003805207775157,0.6724601984035112,5.412488762953025,,,0.0,inf
0.45,0.6899147987365808,1.8184629647126125,5.85273973733669,14.00656388551466,0.3936998173594475,0.7652130350470543,107.0,133.0,121.0,133.42399597167972,0.1916429996490502,0.505128601309059,0.011659860609311014,3.1018109846261495,-0.2702566527049986,,0.0,inf
